match_id,match_date,position,minutes,passes_attempted,passes_completed,pass_pct,key_passes,progressive_passes,shots,xg,dribbles_attempted,dribbles_completed,carries,carry_distance_units,pressures,tackles,interceptions,ball_recoveries,key_passes_p90,prog_passes_p90,dribbles_completed_p90,pressures_p90,tackles_p90,interceptions_p90,ball_recoveries_p90,shots_p90,xg_p90,source_file
3764440,,Left Center Midfield,91.1,80,73,91.2,0,8,0,0.0,3,1,66,376.1,20,3,3,6,0.0,7.9,0.99,19.76,2.96,2.96,5.93,0.0,0.0,data\events\3764440.json
3764661,,Left Center Midfield,92.4,61,55,90.2,3,2,1,0.309,1,0,50,154.9,19,1,0,3,2.92,1.95,0.0,18.5,0.97,0.0,2.92,0.97,0.301,data\events\3764661.json
3773369,,Left Defensive Midfield,84.5,87,80,92.0,2,6,0,0.0,1,0,82,364.6,25,2,1,3,2.13,6.39,0.0,26.63,2.13,1.07,3.2,0.0,0.0,data\events\3773369.json
3773372,,Left Center Midfield,74.8,39,33,84.6,0,4,0,0.0,1,1,38,249.3,29,1,2,3,0.0,4.81,1.2,34.91,1.2,2.41,3.61,0.0,0.0,data\events\3773372.json
3773377,,Right Center Midfield,85.1,74,64,86.5,2,8,1,0.031,4,3,70,353.0,22,2,1,7,2.12,8.46,3.17,23.27,2.12,1.06,7.4,1.06,0.033,data\events\3773377.json
3773386,,,48.6,51,38,74.5,4,8,0,0.0,0,0,43,237.6,11,1,1,4,7.4,14.8,0.0,20.35,1.85,1.85,7.4,0.0,0.0,data\events\3773386.json
3773387,,Left Center Midfield,73.2,42,35,83.3,1,5,4,1.158,1,1,36,130.7,33,3,2,1,1.23,6.15,1.23,40.56,3.69,2.46,1.23,4.92,1.423,data\events\3773387.json
3773403,,Center Attacking Midfield,92.8,45,37,82.2,0,6,0,0.0,2,0,39,250.9,14,4,1,7,0.0,5.82,0.0,13.58,3.88,0.97,6.79,0.0,0.0,data\events\3773403.json
3773415,,Left Center Midfield,73.3,68,60,88.2,1,4,0,0.0,2,1,68,309.0,8,1,3,3,1.23,4.91,1.23,9.82,1.23,3.68,3.68,0.0,0.0,data\events\3773415.json
3773428,,,49.9,59,55,93.2,1,6,2,0.08,2,2,52,300.6,14,1,1,3,1.81,10.83,3.61,25.28,1.81,1.81,5.42,3.61,0.144,data\events\3773428.json
3773457,,Left Center Midfield,45.0,23,19,82.6,0,4,1,0.051,2,2,21,138.9,16,1,0,3,0.0,8.0,4.0,32.0,2.0,0.0,6.0,2.0,0.102,data\events\3773457.json
3773466,,,21.5,9,7,77.8,0,2,0,0.0,0,0,10,85.6,6,2,1,1,0.0,8.39,0.0,25.16,8.39,4.19,4.19,0.0,0.0,data\events\3773466.json
3773474,,Left Defensive Midfield,76.2,79,69,87.3,2,12,1,0.04,0,0,75,407.4,39,1,3,7,2.36,14.16,0.0,46.03,1.18,3.54,8.26,1.18,0.048,data\events\3773474.json
3773477,,Left Midfield,93.6,58,49,84.5,1,7,3,0.469,1,1,50,277.0,19,0,1,3,0.96,6.73,0.96,18.26,0.0,0.96,2.88,2.88,0.451,data\events\3773477.json
3773497,,Left Wing,80.7,59,54,91.5,2,7,0,0.0,2,1,61,296.6,22,2,1,3,2.23,7.81,1.12,24.54,2.23,1.12,3.35,0.0,0.0,data\events\3773497.json
3773523,,Center Attacking Midfield,73.9,38,30,78.9,2,4,1,0.036,0,0,24,191.1,23,1,1,3,2.44,4.87,0.0,28.01,1.22,1.22,3.65,1.22,0.044,data\events\3773523.json
3773526,,,25.8,34,29,85.3,0,6,0,0.0,0,0,24,100.1,10,0,0,1,0.0,20.9,0.0,34.84,0.0,0.0,3.48,0.0,0.0,data\events\3773526.json
3773547,,Right Center Midfield,45.0,39,37,94.9,0,2,0,0.0,1,1,38,122.8,8,1,0,3,0.0,4.0,2.0,16.0,2.0,0.0,6.0,0.0,0.0,data\events\3773547.json
3773552,,Left Center Midfield,91.2,77,62,80.5,4,15,2,0.855,2,2,62,218.5,27,1,0,4,3.95,14.8,1.97,26.64,0.99,0.0,3.95,1.97,0.843,data\events\3773552.json
3773565,,Left Center Midfield,71.8,51,47,92.2,0,3,1,0.092,1,1,36,163.7,13,1,0,1,0.0,3.76,1.25,16.29,1.25,0.0,1.25,1.25,0.115,data\events\3773565.json
3773571,,Left Attacking Midfield,81.0,50,38,76.0,4,7,0,0.0,2,2,40,260.8,17,2,0,6,4.45,7.78,2.22,18.9,2.22,0.0,6.67,0.0,0.0,data\events\3773571.json
3773585,,Right Midfield,80.7,38,32,84.2,0,5,0,0.0,1,0,35,125.9,24,2,1,6,0.0,5.58,0.0,26.76,2.23,1.12,6.69,0.0,0.0,data\events\3773585.json
3773586,,,20.0,22,20,90.9,1,4,0,0.0,0,0,17,81.2,5,2,0,1,4.5,18.02,0.0,22.52,9.01,0.0,4.5,0.0,0.0,data\events\3773586.json
3773587,,Center Attacking Midfield,61.4,33,30,90.9,1,4,0,0.0,1,0,32,186.0,7,0,0,3,1.47,5.87,0.0,10.27,0.0,0.0,4.4,0.0,0.0,data\events\3773587.json
3773593,,,21.5,14,12,85.7,1,2,0,0.0,0,0,15,49.1,7,0,0,1,4.18,8.35,0.0,29.23,0.0,0.0,4.18,0.0,0.0,data\events\3773593.json
3773597,,Left Defensive Midfield,67.0,44,42,95.5,0,6,1,0.07,1,1,39,132.2,29,1,2,4,0.0,8.05,1.34,38.93,1.34,2.68,5.37,1.34,0.093,data\events\3773597.json
3773625,,Left Center Midfield,70.6,26,23,88.5,0,1,0,0.0,0,0,29,96.9,20,0,2,4,0.0,1.27,0.0,25.48,0.0,2.55,5.1,0.0,0.0,data\events\3773625.json
3773631,,,46.8,37,33,89.2,0,2,0,0.0,0,0,35,305.2,19,1,1,5,0.0,3.85,0.0,36.56,1.92,1.92,9.62,0.0,0.0,data\events\3773631.json
3773656,,Left Wing,56.5,22,19,86.4,0,1,1,0.037,2,0,26,172.2,19,0,1,2,0.0,1.59,0.0,30.27,0.0,1.59,3.19,1.59,0.06,data\events\3773656.json
3773660,,,33.8,29,27,93.1,0,3,0,0.0,0,0,24,79.3,8,1,0,1,0.0,8.0,0.0,21.32,2.67,0.0,2.67,0.0,0.0,data\events\3773660.json
3773661,,Left Center Midfield,90.7,68,63,92.6,1,5,0,0.0,4,1,64,287.7,30,1,0,5,0.99,4.96,0.99,29.76,0.99,0.0,4.96,0.0,0.0,data\events\3773661.json
3773665,,Left Center Midfield,86.3,88,77,87.5,0,15,1,0.026,1,0,77,347.1,28,2,2,4,0.0,15.65,0.0,29.21,2.09,2.09,4.17,1.04,0.028,data\events\3773665.json
3773672,,,32.6,11,8,72.7,0,2,0,0.0,1,1,12,112.6,8,2,0,4,0.0,5.52,2.76,22.09,5.52,0.0,11.04,0.0,0.0,data\events\3773672.json
3773689,,Left Center Midfield,63.5,35,32,91.4,0,6,0,0.0,2,0,29,184.4,31,3,3,3,0.0,8.51,0.0,43.95,4.25,4.25,4.25,0.0,0.0,data\events\3773689.json
3773695,,Left Center Midfield,74.1,54,48,88.9,0,2,2,0.381,0,0,41,221.1,8,0,1,3,0.0,2.43,0.0,9.72,0.0,1.21,3.64,2.43,0.463,data\events\3773695.json
3788750,,Left Center Midfield,94.9,107,97,90.7,0,34,0,0.0,1,1,90,629.9,5,0,0,2,0.0,32.24,0.95,4.74,0.0,0.0,1.9,0.0,0.0,data\events\3788750.json
3788762,,Left Center Midfield,92.4,83,77,92.8,1,17,0,0.0,1,0,71,289.7,22,0,2,3,0.97,16.56,0.0,21.42,0.0,1.95,2.92,0.0,0.0,data\events\3788762.json
3788775,,Left Center Midfield,90.6,51,45,88.2,1,11,0,0.0,4,1,47,210.1,18,2,1,4,0.99,10.93,0.99,17.88,1.99,0.99,3.97,0.0,0.0,data\events\3788775.json
3794686,,Left Center Midfield,95.0,69,61,88.4,2,9,0,0.0,1,1,55,290.2,21,2,1,6,1.89,8.53,0.95,19.89,1.89,0.95,5.68,0.0,0.0,data\events\3794686.json
3795108,,Left Center Midfield,95.0,90,84,93.3,5,18,0,0.0,1,0,82,401.5,14,3,2,1,4.74,17.05,0.0,13.26,2.84,1.89,0.95,0.0,0.0,data\events\3795108.json
3795220,,Left Center Midfield,95.0,62,61,98.4,1,7,0,0.0,1,0,64,361.3,24,0,1,8,0.95,6.63,0.0,22.74,0.0,0.95,7.58,0.0,0.0,data\events\3795220.json
3857255,,Left Center Midfield,95.0,129,116,89.9,1,19,0,0.0,1,0,123,443.2,15,2,1,11,0.95,18.0,0.0,14.21,1.89,0.95,10.42,0.0,0.0,data\events\3857255.json
3857263,,Left Center Midfield,93.7,63,59,93.7,0,10,0,0.0,4,2,56,384.3,11,0,3,6,0.0,9.6,1.92,10.56,0.0,2.88,5.76,0.0,0.0,data\events\3857263.json
3857291,,Left Center Midfield,56.5,87,85,97.7,3,11,0,0.0,0,0,81,382.2,6,2,0,3,4.78,17.52,0.0,9.55,3.18,0.0,4.78,0.0,0.0,data\events\3857291.json
3869220,,Left Center Midfield,95.0,147,135,91.8,1,34,0,0.0,5,3,129,632.7,22,1,2,9,0.95,32.21,2.84,20.84,0.95,1.89,8.53,0.0,0.0,data\events\3869220.json
3930160,,Center Attacking Midfield,59.0,17,17,100.0,3,3,0,0.0,1,1,19,103.8,25,1,0,2,4.58,4.58,1.53,38.16,1.53,0.0,3.05,0.0,0.0,data\events\3930160.json
3930172,,Center Attacking Midfield,70.8,37,32,86.5,3,3,3,0.463,1,0,41,259.0,23,1,1,5,3.81,3.81,0.0,29.23,1.27,1.27,6.35,3.81,0.588,data\events\3930172.json
3941018,,Right Center Midfield,51.8,38,34,89.5,4,4,2,0.271,1,0,33,120.5,11,1,1,4,6.95,6.95,0.0,19.1,1.74,1.74,6.95,3.47,0.471,data\events\3941018.json
3942226,,Right Center Midfield,7.7,0,0,0.0,0,0,1,0.117,0,0,1,0.9,2,0,0,0,0.0,0.0,0.0,23.33,0.0,0.0,0.0,11.66,1.37,data\events\3942226.json
